사원번호	이름	연봉	직급명	입출입시간	지역	입출입구분
110039	Vishwani	106491	Manager	2020-09-05 20:30:07	a	O
110039	Vishwani	106491	Manager	2020-08-05 21:01:50	b	O
110039	Vishwani	106491	Manager	2020-07-06 11:00:25	d	O
111133	Hauke	101987	Manager	2020-01-24 02:59:37	a	O
111133	Hauke	101987	Manager	2020-05-07 16:30:37	b	O
110114	Isamu	83457	Manager	2020-05-29 19:38:12	a	O
110114	Isamu	83457	Manager	2020-09-03 01:33:01	b	O
110114	Isamu	83457	Manager	2020-11-12 02:29:00	c	O
110114	Isamu	83457	Manager	2020-04-25 08:28:54	d	O
110567	Leon	74510	Manager	2020-10-17 19:13:31	a	O
110567	Leon	74510	Manager	2020-02-03 10:51:15	b	O
110228	Karsten	65400	Manager	2020-07-13 11:42:49	a	O
110228	Karsten	65400	Manager	2020-09-23 06:07:01	b	O
110228	Karsten	65400	Manager	2020-01-11 22:29:04	d	O
